id,test_id,success,cloud_provider,region,run_time,function_name,allocated_memory,cpu_cores,execution_time,latency,was_cold_start,estimated_costs_per_1m
922,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,12174,1578,f,89.72238
921,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,13396,2573,f,98.72852
962,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,13961,1471,f,102.89257
966,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14021,1485,f,103.33477
970,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14025,1488,f,103.36425
940,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14043,1556,f,103.49691
957,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14061,1985,f,103.62957
980,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14070,2221,f,103.6959
959,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14080,1474,f,103.7696
967,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14082,1536,f,103.78434
993,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14087,1545,f,103.82119
925,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14089,1630,f,103.83593
952,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14098,1559,f,103.90226
954,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14119,1481,f,104.05703
981,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14122,1525,f,104.07914
984,rq1-aws-java-large,t,AWS Lambda,eu-central-1,Java 17,matrix-multiplication,512,2,14125,1575,f,104.10125
